CountryName,CountryCode,Region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,GDPPerCapita2019,RankOf2021
Algeria,DZA,Africa,9.96,10.97,9.82,10.21,11.21,10.2,10.33,10.42,10.51,12.55,12.7,"43,053,054",1.70E+11,3948.34,38
Angola,AGO,Africa,7.36,7.35,7.37,7.37,7.39,7.41,7.41,7.42,7.42,8.33,8.53,"31,825,295",94635415870,2973.59,63
Argentina,ARG,South America,7.18,7.22,7.1,7.27,7.52,8.11,8.35,9.22,9.84,11.46,10.9,"44,938,712",4.50E+11,10006.15,45
Australia,AUS,Oceania,5.08,5.22,5.66,6.08,6.05,5.71,5.59,5.3,5.16,6.46,5.11,"25,766,605",1.39E+12,54049.83,116
Austria,AUT,Europe,4.56,4.87,5.33,5.62,5.72,6.01,5.5,4.85,4.49,5.36,6.3,"8,877,067",4.46E+11,50277.28,96
Azerbaijan,AZE,Asia,5.42,5.19,4.97,4.91,4.96,5,5,4.9,4.85,6.46,6.58,"10,023,318",39207000000,3911.58,89
Bahamas,BHS,Caribbean,14.52,14.02,16.18,13.8,12,12.7,9.8,10,10.06,13.32,13.24,"389,482",12827000000,32933.49,36
Bahrain,BHR,Asia,1.18,1.2,1.18,1.19,1.2,1.19,1.18,1.2,1.2,1.78,1.87,"1,501,635",38574069149,25688.05,173
Bangladesh,BGD,Asia,3.77,4.12,4.43,4.38,4.37,4.35,4.37,4.41,4.44,5.41,5.23,"167,310,838",3.03E+11,1808.44,112
Barbados,BRB,Caribbean,11.19,11.59,11.55,12.17,9.8,8.25,8.62,8.32,8.41,10.38,10.41,"287,025",5209000000,18148.24,49
Belarus,BLR,Europe,6.17,6.05,6.01,5.99,5.84,5.84,5.65,4.76,4.16,4.77,4.74,"9,466,856",63080457023,6663.3,129
Belgium,BEL,Europe,7.14,7.54,8.43,8.52,8.48,7.83,7.09,5.95,5.36,5.55,6.42,"11,484,055",5.30E+11,46116.7,92
Belize,BLZ,Central America,8.28,8.31,8.35,8.24,7.58,7,6.6,6.64,6.71,8.46,8.22,"390,353",1879613600,4815.16,68
Benin,BEN,Africa,2.65,2.47,2.29,2.13,2.01,1.83,1.64,1.47,1.47,1.58,1.57,"11,801,151",14390709095,1219.43,176
Bhutan,BTN,Asia,3.23,2.05,2.87,2.63,2.45,2.49,2.45,2.44,2.5,3.65,4.33,"727,145",2446674101,3364.77,137
Bolivia,BOL,South America,2.25,2.07,2.44,2.02,3.11,3.5,3.65,3.52,3.82,7.9,8.51,"11,513,100",40895322865,3552.07,64
Bosnia and Herzegovina,BIH,Europe,27.58,28.01,27.49,27.52,27.69,25.41,20.53,18.4,15.69,15.27,15.22,"3,301,000",20047848435,6073.27,24
Botswana,BWA,Africa,18.42,18.95,19.4,19.99,20.57,21.03,21.57,22.07,22.61,24.93,24.72,"2,346,179",18340510789,7817.18,4
Brazil,BRA,South America,6.92,7.19,6.98,6.66,8.43,11.6,12.82,12.33,11.93,13.69,14.4,"212,559,417",1.84E+12,8655.26,28
Brunei,BRN,Asia,6.94,6.92,6.88,6.97,7.78,8.38,9.32,8.7,6.92,7.68,7.65,"433,285",13469422941,31086.75,74
Bulgaria,BGR,Europe,11.26,12.27,12.94,11.42,9.14,7.57,6.16,5.21,4.23,5.12,5.42,"6,975,761",86000000000,12328.4,105
Burkina Faso,BFA,Africa,3.79,3.91,4.05,4.19,4.32,4.43,4.56,4.69,4.69,4.89,4.76,"20,321,378",15745810235,774.84,128
Burundi,BDI,Africa,1.6,1.59,1.58,1.57,1.6,1.59,1.59,1.59,1.59,1.71,1.79,"11,530,580",3012334882,261.25,174
Cambodia,KHM,Asia,0.58,0.51,0.44,0.69,0.39,0.72,0.14,0.14,0.15,0.33,0.61,"16,486,542",27089389787,1643.12,181
